Oils,23.9,37.8,48.9,60,82.2,100,110
Crambe,0.9078,0.8977,0.8898,0.8829,0.8681,0.8564,0.8501
Rapeseed,0.9073,0.8987,0.8908,0.8839,0.8686,0.8579,0.8511
Corn,0.9188,0.9082,0.9028,0.8939,0.88,0.8679,0.861
Soybean,0.9193,0.9082,0.9023,0.8939,0.8795,0.8674,0.8615
Milkweed,0.9203,0.9097,0.9018,0.8934,0.879,0.8684,0.8605
Coconut,,0.9107,0.9033,0.8949,0.8795,0.8669,0.8605
Lesquerella,0.9398,0.9307,0.9229,0.9152,0.8999,0.8879,0.883
